bin,brand,sub_brand,type,sub_type,bank,country,country_code,latitude,longitude,url
666024,MAESTRO,,DEBIT,ATM ONLY,"CITIBANK (HONG KONG), LTD.",Hong Kong,HK,22.25,114.1667,https://binlists.com/666024
666025,MAESTRO,,DEBIT,ATM ONLY,"CITIBANK (HONG KONG), LTD.",Hong Kong,HK,22.25,114.1667,https://binlists.com/666025
666026,MAESTRO,,DEBIT,ATM ONLY,"CITIBANK (HONG KONG), LTD.",Hong Kong,HK,22.25,114.1667,https://binlists.com/666026
666027,MAESTRO,,DEBIT,ATM ONLY,"CITIBANK (HONG KONG), LTD.",Hong Kong,HK,22.25,114.1667,https://binlists.com/666027
666028,MAESTRO,,DEBIT,ATM ONLY,"CITIBANK (HONG KONG), LTD.",Hong Kong,HK,22.25,114.1667,https://binlists.com/666028
666029,MAESTRO,,DEBIT,ATM ONLY,"CITIBANK (HONG KONG), LTD.",Hong Kong,HK,22.25,114.1667,https://binlists.com/666029
666030,MAESTRO,,DEBIT,ATM ONLY,"CITIBANK (HONG KONG), LTD.",Hong Kong,HK,22.25,114.1667,https://binlists.com/666030
666031,MAESTRO,,DEBIT,ATM ONLY,"CITIBANK (HONG KONG), LTD.",Hong Kong,HK,22.25,114.1667,https://binlists.com/666031
666032,MAESTRO,,DEBIT,ATM ONLY,"CITIBANK (HONG KONG), LTD.",Hong Kong,HK,22.25,114.1667,https://binlists.com/666032
666033,MAESTRO,,DEBIT,ATM ONLY,"CITIBANK (HONG KONG), LTD.",Hong Kong,HK,22.25,114.1667,https://binlists.com/666033
666034,MAESTRO,,DEBIT,ATM ONLY,"CITIBANK (HONG KONG), LTD.",Hong Kong,HK,22.25,114.1667,https://binlists.com/666034
666035,MAESTRO,,DEBIT,ATM ONLY,"CITIBANK (HONG KONG), LTD.",Hong Kong,HK,22.25,114.1667,https://binlists.com/666035
666036,MAESTRO,,DEBIT,ATM ONLY,"CITIBANK (HONG KONG), LTD.",Hong Kong,HK,22.25,114.1667,https://binlists.com/666036
666037,MAESTRO,,DEBIT,ATM ONLY,"CITIBANK (HONG KONG), LTD.",Hong Kong,HK,22.25,114.1667,https://binlists.com/666037
666038,MAESTRO,,DEBIT,ATM ONLY,"CITIBANK (HONG KONG), LTD.",Hong Kong,HK,22.25,114.1667,https://binlists.com/666038
666039,MAESTRO,,DEBIT,ATM ONLY,"CITIBANK (HONG KONG), LTD.",Hong Kong,HK,22.25,114.1667,https://binlists.com/666039
666040,MAESTRO,,DEBIT,ATM ONLY,"CITIBANK (HONG KONG), LTD.",Hong Kong,HK,22.25,114.1667,https://binlists.com/666040
666041,MAESTRO,,DEBIT,ATM ONLY,"CITIBANK (HONG KONG), LTD.",Hong Kong,HK,22.25,114.1667,https://binlists.com/666041
